stream|stream_partition|ts|kafka_offset
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:00.704000|74606525
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:01.716000|74606531
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:02.730000|74606538
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:03.743000|74606546
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:04.757000|74606554
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:06.751000|74606564
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:07.765000|74606571
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:08.778000|74606578
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:09.802000|74606585
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:10.807000|74606594
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:11.821000|74606601
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:12.836000|74606610
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:13.849000|74606617
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:14.873000|74606624
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:15.877000|74606632
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:16.891000|74606639
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:17.905000|74606646
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:18.920000|74606653
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:19.932000|74606660
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:20.946000|74606668
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:21.961000|74606676
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:22.984000|74606683
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:23.989000|74606690
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:25.003000|74606697
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:26.020000|74606704
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:27.031000|74606710
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:28.045000|74606716
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:29.059000|74606722
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:30.073000|74606728
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:31.087000|74606736
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:32.100000|74606743
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:33.115000|74606750
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:34.129000|74606757
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:35.145000|74606764
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:36.157000|74606770
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:37.171000|74606777
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:38.185000|74606783
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:39.199000|74606789
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:40.226000|74606796
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:42.241000|74606805
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:43.255000|74606812
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:44.269000|74606819
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:45.283000|74606825
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:46.297000|74606831
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:47.311000|74606838
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:48.326000|74606844
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:49.339000|74606851
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:50.353000|74606858
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:51.413000|74606865
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:52.416000|74606876
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:53.430000|74606882
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:54.445000|74606888
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:55.457000|74606895
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:56.472000|74606903
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:57.487000|74606908
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:58.500000|74606915
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:00:59.516000|74606921
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:00.529000|74606927
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:01.636000|74606930
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:03.535000|74606942
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:04.550000|74606948
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:05.594000|74606954
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:06.612000|74606966
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:07.626000|74606972
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:08.640000|74606979
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:09.653000|74606985
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:10.668000|74606990
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:11.683000|74606996
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:12.696000|74607003
YpTAPDbvSAmj-iCUYz-dxA|0|2017-04-09 06:01:13.710000|74607008
